stage,rank,logistic_weight,random_forest_weight,gradient_boosting_weight,log_loss,top1,ece,selected,search_skipped,skip_reason
coarse,34,0.15000000000000002,0.2,0.65,0.05250260407136932,0.987,0.02298560452850727,False,False,
coarse,35,0.05,0.5,0.45,0.05309775255655001,0.98875,0.02508182141782895,False,False,
coarse,36,0.0,0.6000000000000001,0.4,0.05326492398653673,0.9885,0.02386042996367752,False,False,
coarse,37,0.15000000000000002,0.25,0.6000000000000001,0.05326811804229882,0.9875,0.024928047153000267,False,False,
coarse,38,0.1,0.4,0.5,0.05347131643656543,0.988625,0.02579144926113825,False,False,
coarse,39,0.2,0.05,0.75,0.05348734888915274,0.986375,0.02024566547517989,False,False,
coarse,40,0.2,0.0,0.8,0.053491951637379714,0.985625,0.01824052780583421,False,False,
coarse,41,0.2,0.1,0.7000000000000001,0.053846817407921396,0.9875,0.02362683146804072,False,False,
coarse,42,0.15000000000000002,0.30000000000000004,0.55,0.054175869029962194,0.988375,0.026400219312859373,False,False,
coarse,43,0.05,0.55,0.4,0.0543905226097724,0.989125,0.026882837455014887,False,False,
coarse,44,0.2,0.15000000000000002,0.65,0.054425522054982786,0.987625,0.02521173702246322,False,False,
coarse,45,0.1,0.45,0.45,0.05463695435417416,0.98925,0.0279481495460259,False,False,
coarse,46,0.0,0.65,0.35000000000000003,0.054673293149459026,0.9885,0.025238822443702146,False,False,
coarse,47,0.2,0.2,0.6000000000000001,0.05517468823109986,0.987875,0.02746127894502143,False,False,
coarse,48,0.15000000000000002,0.35000000000000003,0.5,0.055210204697321276,0.989125,0.028715720006029365,False,False,
coarse,49,0.25,0.0,0.75,0.055697906860990076,0.986625,0.02289143965373761,False,False,
coarse,50,0.05,0.6000000000000001,0.35000000000000003,0.05579613739869582,0.9895,0.028707777872186434,False,False,
coarse,51,0.1,0.5,0.4,0.05591479755587921,0.989625,0.02989407514423876,False,False,
coarse,52,0.25,0.05,0.7000000000000001,0.05593855900149443,0.987375,0.025642373184755846,False,False,
coarse,53,0.2,0.25,0.55,0.05606708551112062,0.98875,0.02923014270740361,False,False,
coarse,54,0.0,0.7000000000000001,0.30000000000000004,0.0562012940087264,0.988875,0.027016777949666605,False,False,
coarse,55,0.15000000000000002,0.4,0.45,0.05636071899400299,0.9895,0.030618684008312226,False,False,
coarse,56,0.25,0.1,0.65,0.056478643778485625,0.987625,0.02792870127743495,False,False,
coarse,57,0.2,0.30000000000000004,0.5,0.05708557693442532,0.9895,0.031620885708173334,False,False,
coarse,58,0.25,0.15000000000000002,0.6000000000000001,0.057203387730669804,0.988,0.030074509952111254,False,False,
coarse,59,0.1,0.55,0.35000000000000003,0.05730121699150139,0.989875,0.03152308197904392,False,False,
coarse,60,0.05,0.65,0.30000000000000004,0.0573137119621423,0.98975,0.03036080755566332,False,False,
coarse,61,0.15000000000000002,0.45,0.4,0.0576206513500526,0.99025,0.032866431812418904,False,False,
coarse,62,0.0,0.75,0.25,0.05785083552637731,0.989125,0.028636728509559173,False,False,
coarse,63,0.25,0.2,0.55,0.05807588732245731,0.98875,0.03159756464646611,False,False,
coarse,64,0.2,0.35000000000000003,0.45,0.05821892966521815,0.99,0.03351107727685865,False,False,
coarse,65,0.30000000000000004,0.0,0.7000000000000001,0.058232519488036275,0.987375,0.027968211357061797,False,False,
coarse,66,0.30000000000000004,0.05,0.65,0.05866112080689192,0.98775,0.030322836428370047,False,False,
coarse,67,0.1,0.6000000000000001,0.30000000000000004,0.05879488415142765,0.98975,0.032816535352378905,False,False,
